source,company,vertical,region,owner_contact,channel,message_variant,response,objection,proof_walkthrough_status,checkout_status,activation_status,next_state,touch_count,spend_cents,notes,source_url,contact_url
manual_research,Boise Valley Heating and Air,hvac,Treasure Valley ID,public_quote_page,website_form,after_hours_recovery,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://boisevalleyheatingandair.com/,https://boisevalleyheatingandair.com/
manual_research,TVR Inc,hvac_refrigeration,Boise/Meridian ID,public_contact_page,website_form,after_hours_recovery,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://tvrinc.net/,https://tvrinc.net/
manual_research,Dan's Quality Roofing,roofing,Boise ID,public_quote_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://dansqualityroofing.com/,https://dansqualityroofing.com/
manual_research,All County Roofing,roofing,Boise/Southwestern Idaho,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://allcountyroofingid.com/,https://allcountyroofingid.com/
manual_research,208 Roofing,roofing,Boise ID,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.208roofing.com/,https://www.208roofing.com/
manual_research,Mighty Dog Roofing of Boise,roofing,Boise/Treasure Valley ID,public_inspection_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.mightydogroofing.com/boise-id/,https://www.mightydogroofing.com/boise-id/
manual_research,Team Roofing and Remodeling,roofing_remodeling,Meridian/Boise ID,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.teamroofingandremodelingllc.com/,https://www.teamroofingandremodelingllc.com/
manual_research,Hi-Tech Electric,electrician,Boise/Treasure Valley ID,public_appointment_page,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.hitechelect.com/,https://www.hitechelect.com/
manual_research,High Ground Electric,electrician,Boise ID,public_contact_page,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://electricianboiseid.com/,https://electricianboiseid.com/
manual_research,Sublime Electric,electrician,Boise ID,public_schedule_page,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://sublimeelectricid.net/,https://sublimeelectricid.net/
manual_research,Boyd Remodeling and Construction,remodeling,Boise ID,public_schedule_call,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.boydrc.com/,https://www.boydrc.com/
manual_research,STRITE design and remodel,remodeling,Boise ID,public_contact_page,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://stritedr.com/,https://stritedr.com/
manual_research,Automotive Technical Services,auto_repair,Boise ID,public_contact_page,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.automotiverepairboise.com/,https://www.automotiverepairboise.com/
manual_research,Al's Car Care,auto_repair,Boise ID,public_appointment_page,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://alscarcareboise.net/,https://alscarcareboise.net/
manual_research,Boise Pest Control,pest_control,Boise ID,public_lead_form,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://boisepestcontrol.com/,https://boisepestcontrol.com/
