source,company,vertical,region,owner_contact,channel,message_variant,response,objection,proof_walkthrough_status,checkout_status,activation_status,next_state,touch_count,spend_cents,notes,source_url,contact_url
manual_research,Mitchell Aire,hvac,Fresno CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.mitchellaire.com/contact-us,https://www.mitchellaire.com/contact-us
manual_research,Donald P Dick Air Conditioning,hvac,Fresno CA,public_service_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.mrcool4ac.com/,https://www.mrcool4ac.com/
manual_research,On Call Electrical Fresno,electrician,Fresno CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.flonew.com/,https://www.flonew.com/
manual_research,Collins Electrical Fresno,electrician,Fresno CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.collinselectric.com/fresno/,https://www.collinselectric.com/fresno/
manual_research,Advanced Electric Services Inc,electrician,Fresno CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://advancedelectricservicesinc.net/,https://advancedelectricservicesinc.net/
manual_research,Clark Pest Control Fresno,pest_control,Fresno CA,public_service_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.clarkpest.com/locations/fresno-ca,https://www.clarkpest.com/locations/fresno-ca
manual_research,Total Pest Control Fresno,pest_control,Fresno CA,public_quote_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://totalpestcontrolfresno.com/,https://totalpestcontrolfresno.com/
manual_research,Dustin Pest Control,pest_control,Fresno/Visalia/Merced CA,public_quote_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://dustinpestcontrol.com/,https://dustinpestcontrol.com/
manual_research,Valley Integrated Pest Control,pest_control,Fresno CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://vippestcontrolfresno.com/,https://vippestcontrolfresno.com/
manual_research,Lidyoff Landscape,landscaping,Fresno/Central Valley CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://lidyofflandscape.com/,https://lidyofflandscape.com/
manual_research,California Turf and Landscaping,landscaping,Fresno/Central Valley CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://calturfandlandscaping.com/,https://calturfandlandscaping.com/
manual_research,Landscape Connection,landscaping,Fresno/Clovis CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.landscapedesignfresno.com/,https://www.landscapedesignfresno.com/
manual_research,Mikes Evergreen,landscaping,Fresno/Clovis CA,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.mikesevergreen.com/landscape-design-fresno/,https://www.mikesevergreen.com/landscape-design-fresno/
